heuristic,switch_size,max_queue_length,simulation_length,packet_delay_average,packet_delay_variance,packet_delay_max,packet_delay_min,queue_length_average,queue_length_variance,queue_length_max,queue_length_min,permutation_matrix_amount_average,permutation_matrix_amount_variance,permutation_matrix_amount_max,permutation_matrix_amount_min,throughput_average,throughput_variance,throughput_max,throughput_min
GLJD,3,10,50,6.738132174992243,35.85944261734206,36.0,0.0,6.580666666666667,7.841270666666666,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7162222222222222,0.005510172839506173,0.8666666666666667,0.6
GLJD,3,10,55,7.187675070028011,42.945170224952726,52.0,0.0,6.792121212121212,7.654362167125804,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7212121212121212,0.005864707682889502,0.8727272727272727,0.6060606060606061
GLJD,3,10,60,7.492968550242905,46.744964621613825,52.0,0.0,6.978148148148148,7.442115089163238,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7242592592592592,0.005931035665294924,0.8722222222222222,0.6
GLJD,3,10,65,7.793103448275862,50.8310719463131,52.0,0.0,7.144786324786325,7.237669398787347,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7237606837606839,0.00647071371173935,0.882051282051282,0.6051282051282051
GLJD,3,10,70,8.12325479930192,54.49244350750314,52.0,0.0,7.287301587301587,7.006346686822877,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7276190476190477,0.006333182161753593,0.8666666666666667,0.6047619047619047
GLJD,3,10,75,8.352750152222448,57.24353972710318,52.0,0.0,7.414074074074074,6.782172290809328,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.729925925925926,0.006427237311385461,0.8711111111111111,0.5955555555555555
GLJD,3,10,80,8.652547223812249,62.232835049525306,52.0,0.0,7.53,6.577155555555555,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7279166666666668,0.006505960648148149,0.875,0.6041666666666666
GLJD,3,10,85,8.802407041494522,63.856412384703425,52.0,0.0,7.631764705882353,6.369108650519031,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7277124183006537,0.006454628561664318,0.8823529411764706,0.615686274509804
GLJD,3,10,90,9.031064335426922,68.13941864311948,78.0,0.0,7.722716049382716,6.16805188233501,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.727283950617284,0.006120240816948636,0.8888888888888888,0.6148148148148148
GLJD,3,10,95,9.202060859764932,70.6774132379641,78.0,0.0,7.804561403508772,5.975721883656509,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7264327485380115,0.005592271126158476,0.8947368421052632,0.6140350877192983
GLJD,3,10,100,9.405681991751948,73.1169251000316,78.0,0.0,7.876444444444444,5.785400691358025,10.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7274444444444446,0.005390135802469135,0.8966666666666666,0.62
GLJD,3,25,5,1.0169491525423728,1.1098822177535193,4.0,0.0,1.6133333333333333,0.7527111111111112,4.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5244444444444444,0.015920987654320984,0.8,0.26666666666666666
GLJD,3,25,10,1.873134328358209,3.5174871909111167,9.0,0.0,2.5122222222222224,1.9631839506172837,7.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5955555555555556,0.007906172839506169,0.8,0.43333333333333335
GLJD,3,25,15,2.636904761904762,6.262209467120181,12.0,0.0,3.334074074074074,3.6283945130315503,9.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6222222222222221,0.008526748971193415,0.8222222222222222,0.4444444444444444
GLJD,3,25,20,3.518828451882845,10.577678962203043,17.0,0.0,4.095555555555555,5.509758024691358,11.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6638888888888889,0.006557098765432096,0.8166666666666667,0.5
GLJD,3,25,25,4.134993446920053,13.711789875448536,20.0,0.0,4.784888888888889,7.4248383209876545,14.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6782222222222222,0.005104987654320986,0.8133333333333334,0.52
GLJD,3,25,30,4.653212958045672,16.2233393848135,22.0,0.0,5.440740740740741,9.645747599451303,18.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6974074074074075,0.004787517146776406,0.8222222222222222,0.5
GLJD,3,25,35,5.268630075858992,21.809140872080715,29.0,0.0,6.047936507936508,11.915479868984631,21.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7114285714285716,0.00423975812547241,0.8095238095238095,0.5142857142857142
GLJD,3,25,40,5.879125095932464,27.255918804765432,32.0,0.0,6.622777777777777,14.23770339506173,21.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7238888888888889,0.004262654320987654,0.8333333333333334,0.5583333333333333
GLJD,3,25,45,6.390672524501521,32.105570314861865,34.0,0.0,7.186172839506173,16.822129797286998,22.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7306172839506172,0.003941411370217955,0.8518518518518519,0.5851851851851851
GLJD,3,25,50,6.907696933253157,37.53417407050773,36.0,0.0,7.738666666666667,19.637482666666664,24.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7391111111111112,0.003759209876543211,0.8666666666666667,0.62
GLJD,3,25,55,7.476203353163872,45.84434989050255,52.0,0.0,8.265858585858586,22.490531333537394,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7470707070707071,0.0037733292521171294,0.8727272727272727,0.6303030303030303
GLJD,3,25,60,7.961841457410142,51.287317928581636,52.0,0.0,8.780555555555555,25.38277006172839,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7522222222222223,0.003725514403292181,0.8722222222222222,0.6333333333333333
GLJD,3,25,65,8.387630267331218,57.13904952709476,52.0,0.0,9.286837606837606,28.327980597560085,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7545299145299147,0.003977617064796551,0.882051282051282,0.6358974358974359
GLJD,3,25,70,8.897997496871088,64.13999181809969,52.0,0.0,9.778253968253969,31.212574729150916,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7609523809523809,0.0037421012849584282,0.8714285714285714,0.6428571428571429
GLJD,3,25,75,9.354146530059927,70.30875769513439,52.0,0.0,10.243555555555556,33.847347358024685,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7663703703703706,0.003751352537722907,0.8711111111111111,0.6444444444444445
GLJD,3,25,80,9.906199168624616,79.70401542897454,54.0,0.0,10.697916666666666,36.363606770833336,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7684722222222222,0.0037542631172839502,0.8791666666666667,0.6583333333333333
GLJD,3,25,85,10.322323848238483,86.20420354281879,54.0,0.0,11.1440522875817,38.82839926523986,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7717647058823531,0.003611328976034858,0.8862745098039215,0.6666666666666666
GLJD,3,25,90,10.812012107694759,95.85091194632466,78.0,0.0,11.577283950617284,41.23686669714982,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7749382716049382,0.0034391251333638164,0.8925925925925926,0.674074074074074
